HLS,lambda,trainError,testError
250,0,3.505138310985124,3.5085853891197702
250,0.01,3.5117333141453315,3.512543843232681
250,0.1,3.5143863118196355,3.519529638556072
250,1,3.526818949525107,3.5271079390268874
250,10,3.6102636299444106,3.608507422379693
1000,0,3.391192858471299,3.4147491866821484
1000,0.01,3.3454815829400673,3.3809843867705274
1000,0.1,3.3459068783672525,3.3767797014725622
1000,1,3.3512362893987206,3.3820059787567254
1000,10,3.4383815189090394,3.46148829089757
2500,0,2.9417340835982615,3.070211701925522
2500,0.01,3.188963527398958,3.245334779455638
2500,0.1,3.2368020586966324,3.286634103683041
2500,1,3.100520212463069,3.1689842731706728
2500,10,3.000276019039045,3.0873436760103585
5000,0,2.5017658845458066,2.686816859966094
5000,0.01,2.6325401553523626,2.7869727777904587
5000,0.1,2.5186531517340263,2.6784992778614503
5000,1,2.6288458931529526,2.7688098330121016
5000,10,2.6967362089042863,2.862367366937259
7500,0,2.4807630447995415,2.675096625993771
7500,1,2.2771014361983792,2.510829534199542
10000,0,2.1132457399329585,2.3739211460806526
10000,1,2.1497211073410676,2.4139690778082747
10000,3,2.2466900468403184,2.5048375880702163
